showTitle,episodeID,episodeNumber,seasonNumber,seasonEpisodeNumber,airDate
Man Food 2,EA1311H,214,13,11,2009-10-12T00:00:00
Good Eats Turns 10,EASP04H,213,15,4,2009-10-10T00:00:00
Feeling Punchy,EA1306,212,13,6,2009-06-22T00:00:00
Undercover Veggies,EA1305,211,13,5,2009-06-08T00:00:00
Tender Is The Pork,EA1301H,210,13,1,2009-05-26T00:00:00
American Classics 4,EA1304H,210,13,4,2009-05-18T00:00:00
Tamale Never Dies,EA1303H,208,13,3,2009-05-04T00:00:00
Crustacean Nation 4,EA1302H,207,13,2,2009-04-27T00:00:00
Gills Gone Wild,EA1215,206,12,15,2009-03-02T00:00:00
Pantry Raid X: Dark Side of the Cane,EA1214,205,12,14,2009-02-16T00:00:00
Orange Aid,EA1213,204,12,13,2009-02-02T00:00:00
A Cabbage Sprouts in Brussels,EA1212,203,12,12,2008-01-26T00:00:00
Rise of the Rhizome,EA1211,202,12,12,2008-01-19T00:00:00
Cran Opening,EA1114,201,11,14,2008-12-08T00:00:00
Switched on Baklava,EA1210,200,12,10,2008-12-01T00:00:00
American Classics III: Creole in a Bowl,EA1209,199,12,9,2008-11-17T00:00:00
Going Crackers,EA1208,198,12,8,2008-11-10T00:00:00
Et Tu Mame,EA1207,197,12,7,2008-11-03T00:00:00
"Oh My, Meat Pie",EA1206,196,12,6,2008-10-27T00:00:00
Frozen Cache,EA1201,195,12,1,2008-08-11T00:00:00
There Will Be Oil,EA1205,194,12,5,2008-07-29T00:00:00
"Tuna, Surprise",EA1204,193,12,4,2008-07-07T00:00:00
Celeryman,EA1203,192,12,3,2008-06-23T00:00:00
Popover Sometime,EA1202,191,12,2,2008-06-09T00:00:00
Going Dutch,EA1120,190,11,20,2008-05-26T00:00:00
"Honey, I Shrunk The Cake",EA1117,189,11,17,
The Alton Crown Affair,EA1118,188,11,18,2008-03-17T00:00:00
"If It Ain't Broccoli, Don't Fix It",EA1116,187,11,16,2008-02-18T00:00:00
Apple Of My Pie,EA1115,186,11,15,2008-02-04T00:00:00
The Wing and I,EA1119,185,11,19,2008-01-30T00:00:00
American Slicer,EA1111,184,11,11,2008-01-07T00:00:00
Puff The Magic Mallow,EA1113,183,11,13,2007-12-03T00:00:00
Kinda Blue,EA1108,182,11,8,2007-11-14T00:00:00
Bean Stalker,EA1109,180,11,9,2007-11-07T00:00:00
Peanut Gallery,EA1112,180,11,12,2007-10-15T00:00:00
Dill-icous,EA1110,179,11,10,2007-10-08T00:00:00
Stew Romance,EA1103,178,11,3,2007-08-13T00:00:00
Whithering Bites,EA1107,177,11,7,2007-08-06T00:00:00
Fishin' Whole,EA1106,176,11,6,2007-07-23T00:00:00
Sub Standards,EA1105,175,11,5,2007-07-16T00:00:00
Coconut Cake Revival,EA1104,174,11,4,2007-07-09T00:00:00
Pretzel Logic,EA1102,173,11,2,2007-06-20T00:00:00
Milk Made,EA1101,172,11,1,2007-06-06T00:00:00
American Classics I,EA1019,171,10,19,2006-04-18T00:00:00
Espress Yourself,EA1018,169,10,18,2006-04-04T00:00:00
Pickled Pink,EA1020,169,10,20,2006-03-14T00:00:00
Fruit Ten From Outer Space,EA1014,168,10,14,2006-03-07T00:00:00
Fowl Territory,EA1017,167,10,17,2007-02-21T00:00:00
Bowl O' Bayou,EA1016,166,10,16,2007-02-14T00:00:00
Tortillas Again,EA1011,165,10,11,2007-01-31T00:00:00
Pantry Raid VI: Lentils,EA1015,164,10,15,2007-01-17T00:00:00
Fry Turkey Fry,EA1013,163,10,13,2006-11-12T00:00:00
Major Pepper,EA1012,162,10,12,2006-11-08T00:00:00
Pop Art,EA1010,161,10,10,2006-10-11T00:00:00
Squid Pro Quo II,EA1009,160,10,9,2006-10-04T00:00:00
Okraphobia,EA1008,159,10,8,2006-09-27T00:00:00
Peachy Keen,EA1007,158,10,7,2006-09-20T00:00:00
Behind The Eats,EA0922,157,9,22,2006-07-29T00:00:00
Water Works II,EA1006,156,10,6,2006-07-19T00:00:00
Water Works I,EA1005,155,10,5,2006-07-12T00:00:00
Cubing A Round,EA1004,154,10,4,2006-06-21T00:00:00
House of the Rising Bun,EA1003,153,10,3,2006-06-07T00:00:00
Just Barley,EA1001,152,10,1,2006-05-17T00:00:00
Tort(illa) Reform,EA1002,151,10,2,2006-05-03T00:00:00
Olive Me,EA0921,150,9,21,2006-04-19T00:00:00
Shell Game IV,EA0916,149,9,16,2006-04-05T00:00:00
Your Pad Thai or Mine,EA0920,147,9,20,2006-03-15T00:00:00
Flat is Beautiful III,EA0915,146,9,15,2006-02-22T00:00:00
Tender Is The Loin II,EA0919,146,9,19,2006-02-01T00:00:00
Raising the Bar,EA0917,145,9,17,2006-01-25T00:00:00
Tender Is The Loin I,EA0918,144,9,18,2006-01-18T00:00:00
My Pod,EA0914,143,9,14,2006-01-11T00:00:00
School of Hard Nogs,EA0911,142,9,11,2005-12-01T00:00:00
A Pie in Every Pocket,EA0913,141,9,13,2005-11-09T00:00:00
Curious Yet Tasty Avocado Experiment,EA0912,140,9,12,2005-11-02T00:00:00
Great Balls of Meat,EA0910,139,9,10,2005-10-19T00:00:00
The Waffle Truth,EA0909,138,9,9,2005-10-12T00:00:00
Good Wine Gone Bad,EA0908,137,9,8,2005-09-21T00:00:00
Cobbled Together,EA0904,136,9,4,2005-08-24T00:00:00
Wake Up Little Sushi,EA0907,135,9,7,2005-08-03T00:00:00
Power Trip,EA0906,134,9,6,2005-07-27T00:00:00
Churn Baby Churn 2,EA0905,133,9,5,2005-07-13T00:00:00
Urban Preservation II,EA0901,132,9,1,2005-06-29T00:00:00
Dis-Kabob-Ulated,EA0903,131,9,3,2005-06-15T00:00:00
Give Peas a Chance,EA0902,130,9,2,2005-06-01T00:00:00
Do the Rice Thing,EA1H19,129,8,19,2005-05-04T00:00:00
Field of Greens,EA1H20,128,8,20,2005-04-20T00:00:00
My Big Fat Greek Sandwich,EA1H17,126,8,17,2005-04-06T00:00:00
Dr. Strangeloaf,EA1H15,127,8,15,2005-03-16T00:00:00
Sprung A Leek,EA1H21,124,8,21,2005-03-02T00:00:00
A Taproot Orange,EA1H16,119,8,16,2005-02-16T00:00:00
Cuckoo for Coq Au Vin,EA1H18,123,8,18,2005-02-02T00:00:00
Myth Smashers,EA1H22,122,8,22,2005-01-19T00:00:00
Melondrama,EA1H10,121,8,10,2005-01-05T00:00:00
Puddin' Head Blues,EA1H13,120,8,13,2004-12-01T00:00:00
Stuff It,EA1H14,119,8,14,2004-11-14T00:00:00
Art of Darkness III,EA1H06,118,8,6,2004-10-27T00:00:00
True Grits,EA1H08,117,8,8,2004-11-03T00:00:00
Say Cheese,EA1H09,116,8,9,2004-10-17T00:00:00
Soup's On,EA1H12,115,8,12,2004-10-03T00:00:00
SandwichCraft,EA1H11,114,8,11,2004-10-03T00:00:00
The Big Chili,EA1H07,113,8,7,2004-08-18T00:00:00
Wonton Ways,EA1H05,112,8,5,2004-08-04T00:00:00
Circle of Life,EA1H04,111,8,4,2004-07-21T00:00:00
Flat is Beautiful II,EA1H03,110,8,3,2004-07-07T00:00:00
Shell Game,EA1H02,108,8,2,2004-06-23T00:00:00
Hittin' The Sauce,EA1H01,108,8,1,2004-06-16T00:00:00
Top Banana,EA1G18,107,7,18,2003-05-19T00:00:00
Eat This Rock!,EASP03,106,15,3,2003-05-02T00:00:00
Toast Modern,EA1G17,105,7,17,2003-04-14T00:00:00
I Pie,EA1G15,104,7,15,2004-03-03T00:00:00
Sometimes You Feel Like A ...,EA1G14,103,7,14,2004-02-25T00:00:00
Fudge Factor,EA1G05,102,7,5,2004-02-11T00:00:00
The Man Food Show,EA1G16,101,7,16,2004-01-28T00:00:00
Spice Capades,EA1G20,100,7,20,2003-01-14T00:00:00
Herbal Preservation,EA1G19,99,7,19,2004-01-07T00:00:00
The Cookie Clause,EA1G12,98,7,12,2003-12-04T00:00:00
"Potato, My Sweet",EA1G02,99,7,2,2003-11-12T00:00:00
The Trick to Treats,EA1G13,96,7,13,2003-10-26T00:00:00
Ill Gotten Grains,EA1G07,95,7,7,2003-10-08T00:00:00
The Pouch Principal,EA1G08,94,7,8,2003-09-13T00:00:00
Raising The Steaks,EA1G10,93,7,10,2003-09-10T00:00:00
A Beautiful Grind,EA1G09,92,7,9,2003-08-20T00:00:00
True Brew IV: Take Stock,EA1G11,91,7,11,2003-08-06T00:00:00
The Muffin Method Man,EA1G06,90,7,6,2003-07-23T00:00:00
The Egg Files VI: French Flop,EA1G03,89,7,3,2003-07-09T00:00:00
Q,EA1G04,88,7,4,2003-06-11T00:00:00
Crustacean Nation III: Feeling Crabby,EA1G01,87,7,1,2003-05-25T00:00:00
Fit To Be Tied,EA1F17,86,6,17,2003-03-19T00:00:00
Beet It,EA1F16,85,6,16,2003-03-05T00:00:00
The Icing Man Commeth,EA1F14,84,6,14,2003-02-19T00:00:00
A Cake On Every Plate,EA1F13,83,6,13,2003-02-05T00:00:00
Salad Daze II: The Long Arm Of The Slaw,EA1F12,82,6,12,2003-01-29T00:00:00
Use Your Noodle II,EA1F15,81,6,15,2003-01-15T00:00:00
Casserole Over,EA1F11,80,6,11,2003-01-08T00:00:00
Choux Shine,EA1F09,79,6,9,2002-11-13T00:00:00
Chops Ahoy,EA1F07,78,6,7,2002-11-06T00:00:00
Dip Madness,EA1F08,77,6,8,2002-10-16T00:00:00
Amber Waves,EA1F10,76,6,10,2002-10-09T00:00:00
Tomato Envy,EA1F06,75,6,6,2002-10-02T00:00:00
Egg Files V: Quantum Foam,EA1F05,74,6,5,2002-08-07T00:00:00
Good Milk Gone Bad,EA1F04,73,6,4,2002-07-24T00:00:00
Down and Out in Paradise,EASP02,72,15,2,2002-07-21T00:00:00
The Choke's On You,EA1F02,71,6,2,2002-07-10T00:00:00
Strawberry Sky,EA1F03,70,6,3,2002-07-03T00:00:00
The Other Red Meat,EA1F01,69,6,1,2002-06-19T00:00:00
This Spud's For You,EA1E11,68,5,11,2002-04-20T00:00:00
Send In The Clams,EA1E05,67,5,5,2002-04-10T00:00:00
Use Your Noodle II,EA1E10,66,5,10,2002-04-03T00:00:00
Squash Court,EA1E03,65,5,3,2002-03-06T00:00:00
Art of Darkness II,EA1E08,64,5,8,2002-02-13T00:00:00
Squid Pro Quo,EA1E13,63,5,13,2002-01-30T00:00:00
The Trouble with Cheesecake,EA1E04,62,5,4,2002-01-23T00:00:00
Deep Purple,EA1E07,61,5,7,2002-01-16T00:00:00
Scrap Iron Chef,EA1E12,60,5,12,2002-01-09T00:00:00
Celebrity Roast,EA1E02,59,5,2,2001-12-05T00:00:00
Crêpe Expectations,EA1E09,58,5,9,2001-11-28T00:00:00
Oat Cuisine,EA1E06,57,5,6,2001-11-07T00:00:00
Deep Space Slime,EA1E01,56,5,1,2001-10-24T00:00:00
Chile's Angles,EA1D01,55,4,1,2001-10-03T00:00:00
True Brew II,EA1D04,54,4,4,2001-09-05T00:00:00
Puff The Magic Pastry,EA1D07,53,4,7,2001-08-22T00:00:00
Mayo Clinic,EA1D10,52,4,10,2001-08-08T00:00:00
The Bulb of the Night,EA1D11,51,4,11,2001-07-25T00:00:00
Pantry Raid IV: Comb Alone,EA1D13,50,4,13,2001-07-11T00:00:00
A Chuck for Chuck,EA1D12,49,4,12,2001-06-27T00:00:00
Let Them Eat Foam,EA1D08,48,4,8,2001-06-13T00:00:00
Ham I Am,EA1D06,47,4,6,2001-05-30T00:00:00
Crustacean Nation II: Claws,EA1D05,46,4,5,2001-05-16T00:00:00
Fry Hard II: The Chicken,EA1D02,45,4,2,2001-04-25T00:00:00
Pressure,EA1D03,44,4,3,2001-04-18T00:00:00
"Where There's Smoke, There's Fish",EA1D09,43,4,9,2001-04-11T00:00:00
Grill Seekers,EA1C06,42,3,6,2001-03-07T00:00:00
Head Games,EA1C10,41,3,10,2001-02-21T00:00:00
Tofuworld,EA1C01,40,3,1,2001-02-07T00:00:00
Mission: Poachable,EA1C13,39,3,13,2001-01-31T00:00:00
Pantry Raid III: Cool Beans,EA1C12,38,3,12,2001-01-17T00:00:00
Flat Is Beautiful,EA1C11,37,3,11,2001-01-10T00:00:00
The Case For Butter,EA1C08,36,3,8,2001-01-03T00:00:00
Flap Jack Do It Again,EA1C09,35,3,9,2000-12-27T00:00:00
Three Chips for Sister Marsha,EA1C05,34,3,5,2000-12-13T00:00:00
Behind the Bird,EA1C14,33,3,14,2000-11-18T00:00:00
What's Up Duck?,EA1C04,32,3,4,2000-11-01T00:00:00
Man with a Flan,EA1C03,31,3,3,2000-10-18T00:00:00
Mussel Bound,EA1C02,30,3,2,2000-10-11T00:00:00
American Pickle,EA1C07,29,3,7,2000-09-20T00:00:00
Ear Apparent,EA1B09,28,2,9,2000-07-19T00:00:00
Pork Fiction,EA1B14,27,2,14,2000-07-05T00:00:00
Citizen Cane,EA1B05,26,2,5,2000-06-21T00:00:00
Pantry Raid II: Seeing Red,EA1B12,25,2,12,2000-06-07T00:00:00
Urban Preservation Part 1,EA1B06,24,2,6,2000-05-24T00:00:00
Fry Hard,EA1B10,23,2,10,2000-05-10T00:00:00
A Grind is a Terrible Thing to Waste,EA1B11,22,2,11,2000-04-26T00:00:00
True Brew,EA1B08,21,2,8,2000-04-12T00:00:00
Crust Never Sleeps,EA1B04,20,2,4,2000-03-22T00:00:00
The Fungal Gourmet,EA1B13,19,2,13,2000-03-15T00:00:00
Crustacean Nation,EA1B07,18,2,7,2000-03-08T00:00:00
Apple Family Values,EA1B03,17,2,3,2000-03-01T00:00:00
For Whom the Cheese Melts,EA1B02,16,2,2,2000-01-19T00:00:00
It's a Wonderful Cake,EA1B01,15,2,1,1999-12-15T00:00:00
Romancing The Bird—A Good Eats Thanksgiving,EASP01,14,15,1,1999-11-14T00:00:00
Art of Darkness,EA1A13,13,1,13,1999-09-29T00:00:00
Power to the Pilaf,EA1A12,12,1,12,1999-09-22T00:00:00
"Pantry Raid I: ""Use Your Noodle""",EA1A11,11,1,11,1999-09-15T00:00:00
"Hook, Line and Dinner",EA1A10,10,1,10,1999-09-08T00:00:00
A Bowl of Onion,EA1A09,9,1,9,1999-09-01T00:00:00
Gravy Confidential,EA1A08,8,1,8,1999-08-25T00:00:00
The Dough Also Rises,EA1A07,7,1,7,1999-08-18T00:00:00
Churn Baby Churn,EA1A06,6,1,6,1999-08-11T00:00:00
A Bird In The Pan,EA1A05,5,1,5,1999-08-04T00:00:00
Salad Daze,EA1A04,4,1,4,1999-07-28T00:00:00
The Egg-Files,EA1A03,3,1,3,1999-07-21T00:00:00
This Spud's For You,EA1A02,2,1,2,1999-07-14T00:00:00
Steak Your Claim,EA1A01,1,1,1,1999-07-07T00:00:00
