Show #,Show No.,Title,Topics,Synopsis,Original Air Date,Transcript,Recipes
EA1212,203rd,A Cabbage Sprouts in Brussels,"Brussels Sprouts, Sinigrin, Julianne","Reluctantly agreeing to help refurbish the reputation of Brussel sprouts, host Alton Brown discovers that with the proper preparation they can make a surprising range of good eats. (foodtnetwork.com)",01.26.2008,A Cabbage Sprouts in Brussels,1) Grilled Brussels Sprouts 2) Brussels Sprouts with Bacon and Cheese 3) Basic Brussels Sprouts 4) Brussels Sprouts with Pecans and Cranberries
EA1212,202nd,Rise of the Rhizome,"Ginger, Gingerbread Man, Rhizome, Gingerol, Vomitron","When a fairy tale figure seeks host Alton Brown s help in spicing up his personality, it leads to the exploration of that zesty rhizome ginger. (foodnetwork.com)",01.19.2008,Rise of the Rhizome,1) Candied Ginger 2) Ginger Snaps 3) Ginger Ale
EA1114,201st,Cran Opening,"Cranberries, Peg Leg John, Pectins, PAC, Proanthocyanidins, Granita,","Host Alton Brown takes us from the bog to the bar as he explores the many uses of that all-American super fruit, the cranberry. (foodnetwork.com)",12.08.2008 in the US 05.26.2008 (maybe) in Canada,Cran Opening,1) Fresh Cranberry Cosmo 2) Cranberry Granita 3) Cranberry Sauce
EA1210,200th,Switched on Baklava,"Baklava, Pistachios, Walnuts, Phyllo Dough, Cinnamon, Rose Water, Clarify Butter, Basting Brushes, Sugar",Phyllo dough can be finicky but host Alton Brown tames this difficult pastry to create that wonderfully layered dessert known ad baklava. (foodnetwork.com),12.01.2008,Switched on Baklava,1) Baklava
EA1209,"199th Note: If the cranberry episode, Cran Opening, had aired in the US during the same season as it was created, this would have been the 200th episode in the USA.",American Classics III: Creole in a Bowl,"Beans, Rice, Creole, Starch, Sugars, Pancreas, Carbohydrates","Join host Alton Brown as he explores the many historical and cultural influences that give us a New Orleans classic, Beans and Rice. (foodnetwork.com)",11.17.2008,American Classics III: Creole in a Bowl,1) Red Beans and Rice 2) Pickled Pork
EA1208,198th,Going Crackers,"Crackers, Baking Powder, Sylvester Graham, Graham Flour","Although some people believe that crackers only come from boxes, host Alton Brown proves that the humble cracker is vastly improved by a homemade approach. (foodnetwork.com)",11.10.2008,Going Crackers,1) Graham Crackers 2) Seedy Crisps 3) Lavash
EA1207,197th,Et Tu Mame,"Edamame, Magnetron, Samuel Bowen, Proteins, Amino Acids, Miso",That culinary chameleon the soy bean turns up as edamame when host Alton Brown takes it from the sushi bar and into the kitchen. (foodnetwork.com),11.03.2008,Et Tu Mame,1) Basic Edamame 2) Dry Roasted Edamame Brittle 3) Edamame Dip
EA1206,196th,"Oh My, Meat Pie","Meat Pies, Suet",Join host Alton Brown as he tells the tale of an ancestor's journey to the New World by way of a curious meat pie shop. He explores the origins and preparation of shepherd s pie and mincemeat. (foodnetwork.com),10.27.2008,"Oh My, Meat Pie",1) Shepherd's Pie 2) Mincemeat Pie
EA1201,195th,Frozen Cache,"Freezing Foods, Crystallization, Freezer Burn, Drip Loss, Enzymes, Vitamin C, Refrigeration Cycle, Thawing",Join host Alton Brown as he elevates the humble home freezer from its usual role as a dumping ground for leftovers and surplus into a powerhouse for proper food preservation. (foodnetwork.com),08.11.2008,Frozen Cache,1) Frozen Peaches 2) Frozen Green Peas
EA1205,194th,There Will Be Oil,"Oil, Hydrocarbon, Fatty Acids, Triglyceride, Monounsaturated, Polyunsaturated, Smoke Point, Oil Properties, Oil Extraction, Oil Press, Cold Press, Expeller,","Edible oils offer a wide range of flavors and qualities to confound any cook, so host Alton Brown untangles these potent hydrocarbons and puts them to good use in kitchen and car. (foodnetwork.com)",07.29.2008,There Will Be Oil,1) Vegetable Sauté 2) Fruity Oil Ice Cream 3) Potato Chips
EA1204,193rd,"Tuna, Surprise","Tuna, Skipjack, Albacore, Mercury, Nicholas Appert, Pierre Durand, Canning, Ventresca,",An animated icon visits host Alton Brown and challenges him to raise the bar on canned tuna beyond the usual casserole or tuna salad sandwich. (foodnetwork.com),07.07.2008,"Tuna, Surprise",1) Tuna Croquette 2) Tuna Dressing 3) Tuna Salad Undone
EA1203,192nd,Celeryman,"Celery, Celery Root, Crème Fraîche, Stick Blender, Wattage","Celery is not just for peanut butter anymore as host Alton Brown explores the only common plant that can be used as a vegetable, a starch, an herb and a spice. (foodnetwork.com)",06.23.2008,Celeryman,1) Braised Celery 2) Celery Remoulade 3) Celery Soda 4) Celeriac Puree
EA1202,191st,Popover Sometime,"Popovers, Steam, Flour, Pudding","Armed with one simple yet versatile recipe, host Alton Brown creates a variety of dishes from a breakfast treat to that dinner classic, Yorkshire pudding. (foodtv.com)",06.09.2008,Popover Sometime,1) Dutch Baby 2) Yorkshire Pudding with Roast 3) Basic Popover
EA1120,190th,Going Dutch,"Dutch Ovens, Camp Stove, Abraham Darby, Cast Iron, Curing/Seasoning Cast Iron",The power might be out but that doesn't stop host Alton Brown from breaking out the cast iron and using his hearth and his grill to whip up some very good eats. (foodnetwork.com),05.26.2008,Going Dutch,1) Knead Not Sourdough 2) Dutch Oven Cherry Clafoutis 3) Dutch Oven Hoecakes
EA1117,189th,"Honey, I Shrunk The Cake","Cupcakes, Cup Cakes, Standard Weights and Measures, Harry Baker, Chiffon Cake, Cream of Tartar, Potassium Bitartrate, Egg White Protein",Join host Alton Brown as he breaks the trend toward an overly sweet and fussy pastry and gets us back to the original chiffon cupcake that will make you feel like a kid again.,04. 28.2007,"Honey, I Shrunk the Cake",1) Chiffon Cupcakes 2) Chocolate Chiffon Cupcake
EA1118,188th,The Alton Crown Affair,"Crown Roast, Sheep, Lamb, Chine Bone, Frenching Lamb, String, Twine, Cord, Hank, Linen",Host Alton Brown proves that Crown Roast of Lamb can be a dish to shock and awe without needlessly intimidating any cook who attempts to prepare it. (foodnetwork.com),03.17.2008,The Alton Crown Affair,1) Crown Roast of Lamb
EA1116,187th,"If It Ain't Broccoli, Don't Fix It","Broccoli, Crisper Drawer, Vitamins, Dr. Kazimierz Funk, Taste Buds, Superfood",It may be the bane of children and presidents but broccoli is a nutritional superfood. Join host Alton Brown as he transforms broccoli from limp and bitter to crisp and delicious. (foodnetwork.com),02.18.2008,"If It Ain't Broccoli, Don't Fix It",1) Fresh Broccoli Salad 2) Pan Steamed Broccoli 3) Oven Roasted Broccoli
EA1115,186th,Apple Of My Pie,"Apple Pie, Apples, Pie Crust, Applejack, Ethyl Alcohol, Johnny Appleseed, Apple Slicer, Tart Pan, Pie Bird","An American classic is revisited when host Alton Brown makes everybody's favorite, apple pie. (foodnetwork.com)",02.04.2008,Apple Of My Pie,1) Super Apple Pie
EA1119,185th,The Wing and I,"Buffalo Wings, Wing Sauce, Chicken Origins, Airplane Flight, Red Junglefowl, Margarine, Hot Sauce Proliferation, Hoisin Sauce",The Wing's the thing as Alton Brown prepares America's most ubiquitous of bar foods: Buffalo chicken wings. (foodnetwork.com),01.30.2008,The Wing and I,1) Orange Glazed Chicken Wings 2) Buffalo Wings
EA1111,184th,American Slicer,"Knives, Knife Types, Parts of Knives, Cutting, Cutting Boards Cutting a: onion, garlic, bell pepper, jalapeño, and tomatoes",Join host Alton Brown as he explores what it takes to stay sharp in the kitchen and demystifies the relationship between the cook and his cutlery. (foodtv.com),01.07.2008,American Slicer,1) Gazpacho
EA1113,183th,Puff The Magic Mallow,"Marshmallows, Corn Syrup, Candy Stages, High Fructose Corn Syrup","From their swampy origins to modern machine molds, host Alton Brown shares the sweet, sticky science behind homemade marshmallow. (foodtv.com)",12.03.2007,Puff The Magic Mallow,1) Homemade Marshmallows 2) Ambrosia
EA1108,182th,Kinda Blue,"Blueberries, Frozen Pie, Buckle, Starch","Join host Alton Brown as he reveals the secret to turning this summer's superstar, the blueberry, into a year-round treat. (foodnewtork.com)",11.14.2007,Kinda Blue,1)Blueberry Buckle 2)Frozen Blueberry Pie 3)Blueberry Soda
EA1109,180th,Bean Stalker,"Green Beans, Campbell's Soup History, Fried Onions, Mandolins, Panko Breadcrumbs,","Join Food Network's intrepid host, Alton Brown, as he reinvents the classic green bean casserole just in time to save the holidays. (foodtv.com)",11.07.2007,Bean Stalker,1) Best Ever Green Bean Casserole
EA1112,180th,Peanut Gallery,"Peanuts, George Washington Carver,",Alton Brown needs to turn a handful of peanuts into some seriously good eats. (foodtv.com),10.15.2007,Peanut Gallery,1) Boiled Peanuts 2) Boiled Peanut Soup 3) Roasted Peanuts 4) Homemade Peanut Butter 5) Peanut Butter Pie
EA1110,179th,Dill-icous,"Cucumber, Pickles, Fermentation, Dill",Join host Alton Brown as he helps a humble cucumber fulfill its culinary destiny of becoming a pickle. (foodtv.com),10.08.2007,Dill-icious,1) Deep-Fried Pickles 2) Dill Pickles 3) Kookickles (Recipe from show below)
EA1103,178th,Stew Romance,"Beef Stew, Paparika, Goulash, Short Ribs, Chuck and Plate Primal, Stewing, Braising, Collagen, Elastin, Reticulin, Gelatin, Gristle, Maillard Reaction","If great stew, like great music, is a commingling of ingredients to create culinary harmony, why do so many stews taste less like beautiful music and more like a murky dirge? (foodnetwork.com)",08.13.2007,Stew Romance,1) Good Eats Beef Stew
EA1107,177th,Whithering Bites,"Dried Fruit, Dehydration, Fruit Water Percentage, Mummy Preparation, Homemade Fruit Dryers","Dried fruit may not be glamorous, but what it lacks in fashion it more than makes up for in flavor and versatility. (foodnetwork.com)",08.06.2007,Whithering Bites,1) Dried Fruit 2) Individual Fruit Compote Pies 3) Sweet Dried Fruit Compote 4) Trail Mix
EA1106,176th,Fishin' Whole,"Whole Fish, Stripped Bass, Trout, Smelt, Fish Scaling, Fish Muscles, Cooking Fish on Wood,","Scales, tails and eyes oh my! Who's afraid of whole fish? Not Alton Brown. Confront your fishy phobias head on with the fearless host as he roasts, planks and fries up a few good (whole) fish. (foodtv.com)",07.23.2007,Fishn' Whole,1) Pan-Fried Smelts 2) Plank Grilled Whole Trout 3) Whole Striped Bass
EA1105,175th,Sub Standards,"Food Substitutions: Baking Powder, Buttermilk, Peanut Butter, Flour Food Allergies, Miso, Tapioca Flour, Xanthan Gum","Whether filling in for your French teacher or your favorite spice, substitutes can be every bit as successful as the original. Join host Alton Brown and a handful of substitute chefs as they take on a few good recipes with one ingredient tied behind their backs. (foodtv.com)",07.16.2007,Sub Standards,1) The Chewy Gluten Free 2) Southern Biscuits 3) Faux Peanut Sauce
EA1104,174th,Coconut Cake Revival,"Coconut, Coconut Opening, Coconut Extract, Coconut Milk, Coconut Cream, Coconut Cake, Layer Cake",Is it possible to make great cake with coconut from a can? Should you even try? Host Alton Brown wants to know and he's willing to crack open as many nuts as it takes to make a slice of paradise on a plate. (foodtv.com),07.09.2007,Coconut Cake Revival,1) Coconut Cake with 7-Minute Frosting 2) Coconut Milk and Cream 3) Coconut Extract
EA1102,173rd,Pretzel Logic,"Pretzels, pH, Yeast, Lye, Mustard","The pretzel, once a delicious treat, has sadly been twisted into the edible equivalent of cardboard. Alton Brown recreates the traditional soft pretzel in all its crisp, chewy, golden brown glory. (foodtv.com)",06.20.2007,Pretzel Logic,1) Homemade Soft Pretzels 2) Homemade Hard Pretzels 3) Best Mustard Ever
EA1101,172nd,Milk Made,"Milk, Lactose, Evaporated Milk, Sweetened Condensed Milk, Homogenization, Pasteurization, Louis Pasteur, Cottage Cheese","Of all the edibles on earth, only milk exists solely to be food ... at least that's what Alton says. (foodtv.com)",06.06.2007,Milk Made,1) Quick Cottage Cheese 2) Dulce de Leche 3) Tres Leche Cake
