22,A Bicyclops Built For Two,http://www.imsdb.com/TV Transcripts/Futurama - A Bicyclops Built For Two Script.html,http://www.imsdb.com/transcripts/Futurama-A-Bicyclops-Built-For-Two.html
23,How Hermes Requisitioned His Groove Back,http://www.imsdb.com/TV Transcripts/Futurama - How Hermes Requisitioned His Groove Back Script.html,http://www.imsdb.com/transcripts/Futurama-How-Hermes-Requisitioned-His-Groove-Back.html
24,A Clone Of My Own,http://www.imsdb.com/TV Transcripts/Futurama - A Clone Of My Own Script.html,http://www.imsdb.com/transcripts/Futurama-A-Clone-Of-My-Own.html
25,The Deep South,http://www.imsdb.com/TV Transcripts/Futurama - The Deep South Script.html,http://www.imsdb.com/transcripts/Futurama-The-Deep-South.html
26,Bender Gets Made,http://www.imsdb.com/TV Transcripts/Futurama - Bender Gets Made Script.html,http://www.imsdb.com/transcripts/Futurama-Bender-Gets-Made.html
27,The Problem With Popplers,http://www.imsdb.com/TV Transcripts/Futurama - The Problem With Popplers Script.html,http://www.imsdb.com/transcripts/Futurama-The-Problem-With-Popplers.html
28,Mother's Day,http://www.imsdb.com/TV Transcripts/Futurama - Mother's Day Script.html,http://www.imsdb.com/transcripts/Futurama-Mother's-Day.html
29,Anthlogy Of Interest I,http://www.imsdb.com/TV Transcripts/Futurama - Anthlogy Of Interest I Script.html,http://www.imsdb.com/transcripts/Futurama-Anthlogy-Of-Interest-I.html
30,The Honking,http://www.imsdb.com/TV Transcripts/Futurama - The Honking Script.html,http://www.imsdb.com/transcripts/Futurama-The-Honking.html
31,War Is The H Word,http://www.imsdb.com/TV Transcripts/Futurama - War Is The H Word Script.html,http://www.imsdb.com/transcripts/Futurama-War-Is-The-H-Word.html
32,The Cryonic Woman,http://www.imsdb.com/TV Transcripts/Futurama - The Cryonic Woman Script.html,http://www.imsdb.com/transcripts/Futurama-The-Cryonic-Woman.html
33,Parasites Lost,http://www.imsdb.com/TV Transcripts/Futurama - Parasites Lost Script.html,http://www.imsdb.com/transcripts/Futurama-Parasites-Lost.html
34,Amazon Women In The Mood,http://www.imsdb.com/TV Transcripts/Futurama - Amazon Women In The Mood Script.html,http://www.imsdb.com/transcripts/Futurama-Amazon-Women-In-The-Mood.html
35,Bendless Love,http://www.imsdb.com/TV Transcripts/Futurama - Bendless Love Script.html,http://www.imsdb.com/transcripts/Futurama-Bendless-Love.html
36,The Day The Earth Stood Stupid,http://www.imsdb.com/TV Transcripts/Futurama - The Day The Earth Stood Stupid Script.html,http://www.imsdb.com/transcripts/Futurama-The-Day-The-Earth-Stood-Stupid.html
37,That's Lobstertainment!,http://www.imsdb.com/TV Transcripts/Futurama - That's Lobstertainment! Script.html,http://www.imsdb.com/transcripts/Futurama-That's-Lobstertainment!.html
38,The Birdbot Of IceCatraz,http://www.imsdb.com/TV Transcripts/Futurama - The Birdbot Of IceCatraz Script.html,http://www.imsdb.com/transcripts/Futurama-The-Birdbot-Of-IceCatraz.html
39,Luck Of The Fryrish,http://www.imsdb.com/TV Transcripts/Futurama - Luck Of The Fryrish Script.html,http://www.imsdb.com/transcripts/Futurama-Luck-Of-The-Fryrish.html
40,The Cyber House Rules,http://www.imsdb.com/TV Transcripts/Futurama - The Cyber House Rules Script.html,http://www.imsdb.com/transcripts/Futurama-The-Cyber-House-Rules.html
41,Insane In The Mainframe,http://www.imsdb.com/TV Transcripts/Futurama - Insane In The Mainframe Script.html,http://www.imsdb.com/transcripts/Futurama-Insane-In-The-Mainframe.html
42,Bendin' In The Wind,http://www.imsdb.com/TV Transcripts/Futurama - Bendin' In The Wind Script.html,http://www.imsdb.com/transcripts/Futurama-Bendin'-In-The-Wind.html
43,Time Keeps On Slipping,http://www.imsdb.com/TV Transcripts/Futurama - Time Keeps On Slipping Script.html,http://www.imsdb.com/transcripts/Futurama-Time-Keeps-On-Slipping.html
44,I Dated A Robot,http://www.imsdb.com/TV Transcripts/Futurama - I Dated A Robot Script.html,http://www.imsdb.com/transcripts/Futurama-I-Dated-A-Robot.html
45,Roswell That Ends Well,http://www.imsdb.com/TV Transcripts/Futurama - Roswell That Ends Well Script.html,http://www.imsdb.com/transcripts/Futurama-Roswell-That-Ends-Well.html
46,A Tale Of Two Santas,http://www.imsdb.com/TV Transcripts/Futurama - A Tale Of Two Santas Script.html,http://www.imsdb.com/transcripts/Futurama-A-Tale-Of-Two-Santas.html
47,Anthology Of Interest II,http://www.imsdb.com/TV Transcripts/Futurama - Anthology Of Interest II Script.html,http://www.imsdb.com/transcripts/Futurama-Anthology-Of-Interest-II.html
48,Love And Rocket,http://www.imsdb.com/TV Transcripts/Futurama - Love And Rocket Script.html,http://www.imsdb.com/transcripts/Futurama-Love-And-Rocket.html
49,Leela's Homeworld,http://www.imsdb.com/TV Transcripts/Futurama - Leela's Homeworld Script.html,http://www.imsdb.com/transcripts/Futurama-Leela's-Homeworld.html
50,Where The Buggalo Roam,http://www.imsdb.com/TV Transcripts/Futurama - Where The Buggalo Roam Script.html,http://www.imsdb.com/transcripts/Futurama-Where-The-Buggalo-Roam.html
51,A Pharaoh To Remember,http://www.imsdb.com/TV Transcripts/Futurama - A Pharaoh To Remember Script.html,http://www.imsdb.com/transcripts/Futurama-A-Pharaoh-To-Remember.html
52,Godfellas,http://www.imsdb.com/TV Transcripts/Futurama - Godfellas Script.html,http://www.imsdb.com/transcripts/Futurama-Godfellas.html
53,Future Stock,http://www.imsdb.com/TV Transcripts/Futurama - Future Stock Script.html,http://www.imsdb.com/transcripts/Futurama-Future-Stock.html
54,A Leela Of Her Own,http://www.imsdb.com/TV Transcripts/Futurama - A Leela Of Her Own Script.html,http://www.imsdb.com/transcripts/Futurama-A-Leela-Of-Her-Own.html
55,30 Percent Iron Chef,http://www.imsdb.com/TV Transcripts/Futurama - 30 Percent Iron Chef Script.html,http://www.imsdb.com/transcripts/Futurama-30-Percent-Iron-Chef.html
56,Where No Fan Has Gone Before,http://www.imsdb.com/TV Transcripts/Futurama - Where No Fan Has Gone Before Script.html,http://www.imsdb.com/transcripts/Futurama-Where-No-Fan-Has-Gone-Before.html
57,Crimes Of The Hot,http://www.imsdb.com/TV Transcripts/Futurama - Crimes Of The Hot Script.html,http://www.imsdb.com/transcripts/Futurama-Crimes-Of-The-Hot.html
58,Jurassic Bark,http://www.imsdb.com/TV Transcripts/Futurama - Jurassic Bark Script.html,http://www.imsdb.com/transcripts/Futurama-Jurassic-Bark.html
59,The Route Of All Evil,http://www.imsdb.com/TV Transcripts/Futurama - The Route Of All Evil Script.html,http://www.imsdb.com/transcripts/Futurama-The-Route-Of-All-Evil.html
60,A Taste Of Freedom,http://www.imsdb.com/TV Transcripts/Futurama - A Taste Of Freedom Script.html,http://www.imsdb.com/transcripts/Futurama-A-Taste-Of-Freedom.html
61,Kif Gets Knocked Up A Notch,http://www.imsdb.com/TV Transcripts/Futurama - Kif Gets Knocked Up A Notch Script.html,http://www.imsdb.com/transcripts/Futurama-Kif-Gets-Knocked-Up-A-Notch.html
62,Less Than Hero,http://www.imsdb.com/TV Transcripts/Futurama - Less Than Hero Script.html,http://www.imsdb.com/transcripts/Futurama-Less-Than-Hero.html
63,Teenage Mutant Leela's Hurdles,http://www.imsdb.com/TV Transcripts/Futurama - Teenage Mutant Leela's Hurdles Script.html,http://www.imsdb.com/transcripts/Futurama-Teenage-Mutant-Leela's-Hurdles.html
64,The Why Of Fry,http://www.imsdb.com/TV Transcripts/Futurama - The Why Of Fry Script.html,http://www.imsdb.com/transcripts/Futurama-The-Why-Of-Fry.html
65,The Sting,http://www.imsdb.com/TV Transcripts/Futurama - The Sting Script.html,http://www.imsdb.com/transcripts/Futurama-The-Sting.html
66,The Farnsworth Parabox,http://www.imsdb.com/TV Transcripts/Futurama - The Farnsworth Parabox Script.html,http://www.imsdb.com/transcripts/Futurama-The-Farnsworth-Parabox.html
67,Three Hundred Big Boys,http://www.imsdb.com/TV Transcripts/Futurama - Three Hundred Big Boys Script.html,http://www.imsdb.com/transcripts/Futurama-Three-Hundred-Big-Boys.html
68,Spanish Fry,http://www.imsdb.com/TV Transcripts/Futurama - Spanish Fry Script.html,http://www.imsdb.com/transcripts/Futurama-Spanish-Fry.html
69,Bend Her,http://www.imsdb.com/TV Transcripts/Futurama - Bend Her Script.html,http://www.imsdb.com/transcripts/Futurama-Bend-Her.html
70,Obsoletely Fabulous,http://www.imsdb.com/TV Transcripts/Futurama - Obsoletely Fabulous Script.html,http://www.imsdb.com/transcripts/Futurama-Obsoletely-Fabulous.html
71,Bender Should Not Be Allowed On Tv,http://www.imsdb.com/TV Transcripts/Futurama - Bender Should Not Be Allowed On Tv Script.html,http://www.imsdb.com/transcripts/Futurama-Bender-Should-Not-Be-Allowed-On-Tv.html
72,The Devil's Hands Are Idle Playthings,http://www.imsdb.com/TV Transcripts/Futurama - The Devil's Hands Are Idle Playthings Script.html,http://www.imsdb.com/transcripts/Futurama-The-Devil's-Hands-Are-Idle-Playthings.html
